"DE_50hertz_wind_generation","DE_50hertz_wind_generation_forecast","date"
888.833333333333,544.958333333333,"2006-01-01"
122.666666666667,98.5833333333333,"2006-01-02"
159.25,269.083333333333,"2006-01-03"
298.458333333333,313.791666666667,"2006-01-04"
2092.70833333333,1906.70833333333,"2006-01-05"
1791.29166666667,2095.95833333333,"2006-01-06"
1006.54166666667,1635.20833333333,"2006-01-07"
911.125,1382.41666666667,"2006-01-08"
882.416666666667,612.875,"2006-01-09"
1254.41666666667,443.041666666667,"2006-01-10"
2158.875,1047.125,"2006-01-11"
342.541666666667,213.333333333333,"2006-01-12"
1201.5,768.375,"2006-01-13"
792.416666666667,653.875,"2006-01-14"
1478.75,940.291666666667,"2006-01-15"
1170.91666666667,689.625,"2006-01-16"
2016.16666666667,1306.33333333333,"2006-01-17"
1641.375,1803,"2006-01-18"
336.25,270,"2006-01-19"
1588.66666666667,1340.625,"2006-01-20"
1992.16666666667,1760,"2006-01-21"
488.5,605.458333333333,"2006-01-22"
259.458333333333,402.875,"2006-01-23"
826.75,557.333333333333,"2006-01-24"
1019.375,890.166666666667,"2006-01-25"
452.041666666667,755.75,"2006-01-26"
226.166666666667,317.208333333333,"2006-01-27"
83.7083333333333,136.083333333333,"2006-01-28"
115.458333333333,85.0833333333333,"2006-01-29"
471.333333333333,151.708333333333,"2006-01-30"
828.083333333333,404.916666666667,"2006-01-31"
336.375,484.125,"2006-02-01"
446,409.458333333333,"2006-02-02"
172.333333333333,189.75,"2006-02-03"
453.583333333333,135.583333333333,"2006-02-04"
11.75,98.5833333333333,"2006-02-05"
1354.58333333333,1155.91666666667,"2006-02-06"
4148.83333333333,3568.66666666667,"2006-02-07"
3493,3427.91666666667,"2006-02-08"
3856.29166666667,3851.04166666667,"2006-02-09"
1875.5,1251.375,"2006-02-10"
192.25,221.791666666667,"2006-02-11"
268,214.333333333333,"2006-02-12"
170.458333333333,142.625,"2006-02-13"
504.583333333333,289.791666666667,"2006-02-14"
2228.33333333333,1666.29166666667,"2006-02-15"
746.375,939.625,"2006-02-16"
1342.33333333333,749.916666666667,"2006-02-17"
1544.375,1189.20833333333,"2006-02-18"
716.291666666667,455,"2006-02-19"
945.291666666667,795.541666666667,"2006-02-20"
1361.25,733.5,"2006-02-21"
696.375,893.083333333333,"2006-02-22"
215.166666666667,184.666666666667,"2006-02-23"
2614.70833333333,2129.08333333333,"2006-02-24"
1316.25,1237.33333333333,"2006-02-25"
448.75,744.333333333333,"2006-02-26"
366.291666666667,573.708333333333,"2006-02-27"
1818.08333333333,1642.58333333333,"2006-02-28"
1723.33333333333,1893.91666666667,"2006-03-01"
2496.625,2590.95833333333,"2006-03-02"
939.416666666667,1899.25,"2006-03-03"
1024,1611.75,"2006-03-04"
2032.79166666667,941.666666666667,"2006-03-05"
823.958333333333,388.458333333333,"2006-03-06"
367.375,348.333333333333,"2006-03-07"
1498,1511.04166666667,"2006-03-08"
770.666666666667,1442.75,"2006-03-09"
1141.16666666667,1752,"2006-03-10"
1687.41666666667,1894,"2006-03-11"
1736.5,1575.16666666667,"2006-03-12"
338.833333333333,259.208333333333,"2006-03-13"
196.875,235.166666666667,"2006-03-14"
519.833333333333,1038.45833333333,"2006-03-15"
802.041666666667,828.458333333333,"2006-03-16"
653.541666666667,697.625,"2006-03-17"
153.416666666667,345.333333333333,"2006-03-18"
716.666666666667,1247.875,"2006-03-19"
593.416666666667,963.125,"2006-03-20"
84.9583333333333,385.625,"2006-03-21"
232.583333333333,431.625,"2006-03-22"
332.75,594.416666666667,"2006-03-23"
1689.83333333333,2658.70833333333,"2006-03-24"
1012.45833333333,1719.41666666667,"2006-03-25"
1569.41666666667,2168.66666666667,"2006-03-26"
1972.91666666667,2808.625,"2006-03-27"
1873.91666666667,1824,"2006-03-28"
2219.125,2344.70833333333,"2006-03-29"
2530.29166666667,2352.16666666667,"2006-03-30"
3635.16666666667,3294.41666666667,"2006-03-31"
1683.875,1574.33333333333,"2006-04-01"
1993.20833333333,1844.33333333333,"2006-04-02"
2580.95833333333,3007.54166666667,"2006-04-03"
1327.16666666667,1336.66666666667,"2006-04-04"
1326.33333333333,1485.33333333333,"2006-04-05"
876.541666666667,1504.08333333333,"2006-04-06"
1155.5,1569.875,"2006-04-07"
2158,2267.83333333333,"2006-04-08"
2048.20833333333,2208.16666666667,"2006-04-09"
518,721.75,"2006-04-10"
553.416666666667,874.583333333333,"2006-04-11"
644.625,1071.04166666667,"2006-04-12"
2407.5,3388.25,"2006-04-13"
2955.08333333333,3152.625,"2006-04-14"
628.541666666667,743.875,"2006-04-15"
1831.125,1825.83333333333,"2006-04-16"
1009.875,930.25,"2006-04-17"
1152,1004.08333333333,"2006-04-18"
322.25,642.041666666667,"2006-04-19"
436.5,591.5,"2006-04-20"
364.041666666667,234.791666666667,"2006-04-21"
565.958333333333,528.666666666667,"2006-04-22"
114.291666666667,184.833333333333,"2006-04-23"
99.25,233.541666666667,"2006-04-24"
296.875,233.625,"2006-04-25"
351.208333333333,241.458333333333,"2006-04-26"
459.583333333333,880.333333333333,"2006-04-27"
440.666666666667,521.041666666667,"2006-04-28"
311.208333333333,384.75,"2006-04-29"
469.041666666667,365.916666666667,"2006-04-30"
615.541666666667,921.291666666667,"2006-05-01"
468.791666666667,600.416666666667,"2006-05-02"
855.541666666667,886.666666666667,"2006-05-03"
1905.375,1760.33333333333,"2006-05-04"
2163.125,2017.33333333333,"2006-05-05"
1295.08333333333,1184.58333333333,"2006-05-06"
1232.33333333333,1252.16666666667,"2006-05-07"
1097.95833333333,1199.83333333333,"2006-05-08"
1269.25,1182.58333333333,"2006-05-09"
856.416666666667,426.916666666667,"2006-05-10"
98.7083333333333,146.625,"2006-05-11"
260.25,283.25,"2006-05-12"
650.083333333333,776.041666666667,"2006-05-13"
976.333333333333,1456.29166666667,"2006-05-14"
356.75,626.166666666667,"2006-05-15"
1234.41666666667,1331.79166666667,"2006-05-16"
266.5,337.291666666667,"2006-05-17"
1395.20833333333,1727.58333333333,"2006-05-18"
3051.375,3206.20833333333,"2006-05-19"
3284.125,3916.33333333333,"2006-05-20"
2815.29166666667,3268.16666666667,"2006-05-21"
2025,2726.95833333333,"2006-05-22"
3414.79166666667,3826.875,"2006-05-23"
2067.04166666667,2417.5,"2006-05-24"
1515.66666666667,2534.20833333333,"2006-05-25"
1000.375,963.333333333333,"2006-05-26"
834.583333333333,723.75,"2006-05-27"
3862.08333333333,3868.375,"2006-05-28"
1058.41666666667,1290.75,"2006-05-29"
1254.66666666667,1653.875,"2006-05-30"
1465.625,2250.25,"2006-05-31"
1077.625,1497.5,"2006-06-01"
194.583333333333,195.291666666667,"2006-06-02"
826.333333333333,1074.08333333333,"2006-06-03"
2067.625,2176.04166666667,"2006-06-04"
591.5,910.458333333333,"2006-06-05"
265.75,388.208333333333,"2006-06-06"
69.625,231.375,"2006-06-07"
122.958333333333,272.791666666667,"2006-06-08"
103.583333333333,257.208333333333,"2006-06-09"
300.666666666667,281.5,"2006-06-10"
305.375,178.625,"2006-06-11"
322.458333333333,216.375,"2006-06-12"
333.875,321.875,"2006-06-13"
322.708333333333,1254.95833333333,"2006-06-14"
235.916666666667,481.375,"2006-06-15"
367.125,493.75,"2006-06-16"
404.833333333333,620.416666666667,"2006-06-17"
242.75,427.333333333333,"2006-06-18"
671.125,514.583333333333,"2006-06-19"
236.958333333333,409.583333333333,"2006-06-20"
726.041666666667,807.083333333333,"2006-06-21"
1247.58333333333,1158.5,"2006-06-22"
195.916666666667,333.791666666667,"2006-06-23"
271.875,288.75,"2006-06-24"
562.625,580.583333333333,"2006-06-25"
1333.29166666667,1110.25,"2006-06-26"
726.25,945.708333333333,"2006-06-27"
235.458333333333,280.125,"2006-06-28"
358.416666666667,491.458333333333,"2006-06-29"
275.75,310.916666666667,"2006-06-30"
451.083333333333,339.416666666667,"2006-07-01"
1203.625,710.458333333333,"2006-07-02"
1261.83333333333,839.416666666667,"2006-07-03"
751.791666666667,850.333333333333,"2006-07-04"
916.875,697.083333333333,"2006-07-05"
434.791666666667,447.375,"2006-07-06"
294.583333333333,202.583333333333,"2006-07-07"
140.208333333333,258.25,"2006-07-08"
316,290.875,"2006-07-09"
430.041666666667,292.75,"2006-07-10"
370.208333333333,486.875,"2006-07-11"
298.5,229.416666666667,"2006-07-12"
312.25,185.791666666667,"2006-07-13"
1283.33333333333,1071.83333333333,"2006-07-14"
601.583333333333,510.416666666667,"2006-07-15"
513.75,278.75,"2006-07-16"
46.8333333333333,80.9166666666667,"2006-07-17"
237.583333333333,382.208333333333,"2006-07-18"
94.4583333333333,112.083333333333,"2006-07-19"
334.958333333333,263.083333333333,"2006-07-20"
692.166666666667,512.541666666667,"2006-07-21"
292.333333333333,178.208333333333,"2006-07-22"
358.208333333333,326.25,"2006-07-23"
341.541666666667,242.875,"2006-07-24"
202.083333333333,137.583333333333,"2006-07-25"
212.583333333333,105.625,"2006-07-26"
375.291666666667,250.708333333333,"2006-07-27"
382.25,424.958333333333,"2006-07-28"
290.208333333333,424.875,"2006-07-29"
317.041666666667,278.041666666667,"2006-07-30"
614,499.875,"2006-07-31"
726.041666666667,750.416666666667,"2006-08-01"
1787.04166666667,1690.58333333333,"2006-08-02"
269.208333333333,660,"2006-08-03"
291.666666666667,339.708333333333,"2006-08-04"
1714.29166666667,2639.375,"2006-08-05"
2032.5,2118.75,"2006-08-06"
2323.95833333333,1893.625,"2006-08-07"
1661.29166666667,1512.08333333333,"2006-08-08"
665.666666666667,686.75,"2006-08-09"
243.916666666667,499.208333333333,"2006-08-10"
126.208333333333,205.791666666667,"2006-08-11"
55.25,111.875,"2006-08-12"
127.5,290.958333333333,"2006-08-13"
1262.75,1166.25,"2006-08-14"
2831.41666666667,2783.625,"2006-08-15"
334.083333333333,410.166666666667,"2006-08-16"
128,268.25,"2006-08-17"
1212.875,885.791666666667,"2006-08-18"
494.791666666667,510.083333333333,"2006-08-19"
1371.95833333333,1435.91666666667,"2006-08-20"
1693.70833333333,2000.58333333333,"2006-08-21"
1235.20833333333,1665.95833333333,"2006-08-22"
1163.625,1309.875,"2006-08-23"
307.208333333333,350.833333333333,"2006-08-24"
313.625,415.333333333333,"2006-08-25"
320.541666666667,484.458333333333,"2006-08-26"
1160.83333333333,1301.70833333333,"2006-08-27"
1338.75,1648.5,"2006-08-28"
2097.25,2661.33333333333,"2006-08-29"
3087.41666666667,3847.25,"2006-08-30"
2494.41666666667,2341.125,"2006-08-31"
1304.875,1528.875,"2006-09-01"
902.458333333333,1112.375,"2006-09-02"
3767.125,3962.33333333333,"2006-09-03"
4390.5,4269.54166666667,"2006-09-04"
2530.75,1858.45833333333,"2006-09-05"
564.416666666667,673.291666666667,"2006-09-06"
1511.75,1307.20833333333,"2006-09-07"
2549.33333333333,2565,"2006-09-08"
412.333333333333,450.375,"2006-09-09"
517.166666666667,359.416666666667,"2006-09-10"
962.916666666667,798.208333333333,"2006-09-11"
990.791666666667,853.458333333333,"2006-09-12"
898.25,798.625,"2006-09-13"
1050.66666666667,987.708333333333,"2006-09-14"
3023.875,2634.83333333333,"2006-09-15"
2378.45833333333,2770.33333333333,"2006-09-16"
818.541666666667,814.166666666667,"2006-09-17"
357,416.083333333333,"2006-09-18"
614.208333333333,753.875,"2006-09-19"
454.083333333333,527.458333333333,"2006-09-20"
1103.54166666667,1272.5,"2006-09-21"
1746.25,1738.41666666667,"2006-09-22"
1971.625,1933.95833333333,"2006-09-23"
1825.79166666667,1306.58333333333,"2006-09-24"
1415.625,1110.5,"2006-09-25"
416.208333333333,444.541666666667,"2006-09-26"
202.541666666667,212.625,"2006-09-27"
155.916666666667,259.666666666667,"2006-09-28"
297.583333333333,357.833333333333,"2006-09-29"
456.75,771.875,"2006-09-30"
668.166666666667,1364.83333333333,"2006-10-01"
2846.20833333333,3104.66666666667,"2006-10-02"
633,986.541666666667,"2006-10-03"
1327.5,2066.75,"2006-10-04"
1165.41666666667,1287.375,"2006-10-05"
3081.45833333333,3403.33333333333,"2006-10-06"
2952.33333333333,3579.45833333333,"2006-10-07"
1784.16666666667,1296.33333333333,"2006-10-08"
